wabs(1) * (xaped(1) + xaped(2))
 idx  param              tie-to  freeze         value         min         max
  1  wabs(1).nH              0     1          1.11616           0          10  10^22
  2  xaped(1).norm1          0     0      0.001272483      0.0001        0.05  
  3  xaped(1).norm2          0     0      0.001969396      0.0001      0.0025  
  4  xaped(1).norm3          0     0      1.00182e-05       1e-05       0.001  
  5  xaped(1).norm4          0     0        0.0221132       0.001        0.06  
  6  xaped(1).temperature1   0     1          6300000           0           0  
  7  xaped(1).temperature2   0     1         1.26e+07           0           0  
  8  xaped(1).temperature3   0     1         3.16e+07           0           0  
  9  xaped(1).temperature4   0     1         1.26e+08           0           0  
 10  xaped(1).density        0     1            1e+14           0           0  
 11  xaped(1).vturb          0     0         1327.432         500        4000  
 12  xaped(1).redshift       0     0      0.007293251       -0.02        0.02  
 13  xaped(1).metal_abund    0     0          4.30437         0.1          15  
 14  xaped(1).abund_Ni       0     0         31.58238         0.1         100  
 15  xaped(2).norm1          0     0       0.00010001      0.0001       0.001  
 16  xaped(2).norm2          0     0           0.0001      0.0001       0.001  
 17  xaped(2).norm3          0     0            1e-05       1e-05       0.003  
 18  xaped(2).norm4          0     0       0.03539323       0.001        0.04  
 19  xaped(2).temperature1   6     1          6300000           0           0  
 20  xaped(2).temperature2   7     1         1.26e+07           0           0  
 21  xaped(2).temperature3   8     1         3.16e+07           0           0  
 22  xaped(2).temperature4   9     1         1.26e+08           0           0  
 23  xaped(2).density       10     1            1e+14           0           0  
 24  xaped(2).vturb          0     0         4131.109        1000        5000  
 25  xaped(2).redshift       0     0       0.05105435       -0.01         0.2  
 26  xaped(2).metal_abund   13     0          4.30437         0.1          15  
 27  xaped(2).abund_Ni      14     0         31.58238         0.1         100  
